time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
1948.0,0.7351730755842348,0.2648269244157652,0.48302574593566167,0.5169742540643383,0.65625,0.34375,0.7024712498201187,0.2975287501798988,0.10859564580706031
1950.0,0.7354680803373213,0.26453191966267886,0.4830885058584464,0.5169114941415536,0.65625,0.34375,0.7047999619578622,0.2952000380421554,0.10859564580706031
1952.0,0.7357625280455077,0.26423747195449243,0.48315103373466295,0.516848966265337,0.65625,0.34375,0.7071042920995062,0.29289570790051106,0.10859564580706031
1954.0,0.7360564197606427,0.26394358023935727,0.4832133304222837,0.5167866695777162,0.65625,0.34375,0.709384055941631,0.290615944058386,0.10859564580706031
1956.0,0.7363497565325889,0.26365024346741106,0.4832753967761087,0.5167246032238912,0.65625,0.34375,0.7116390711458884,0.28836092885412856,0.10859564580706031
1958.0,0.7366425394092262,0.26335746059077386,0.4833372336477771,0.5166627663522229,0.65625,0.34375,0.7138691573535779,0.28613084264643895,0.10859564580706031
1960.0,0.7369347694364555,0.2630652305635445,0.4833988418857791,0.5166011581142209,0.65625,0.34375,0.7160741362000648,0.2839258637999519,0.10859564580706031
1962.0,0.737226447658203,0.262773552341797,0.4834602223354674,0.5165397776645325,0.65625,0.34375,0.7182538313290383,0.281746168670978,0.10859564580706031
1964.0,0.7375175751164236,0.2624824248835765,0.4835213758390692,0.5164786241609309,0.65625,0.34375,0.7204080684066108,0.2795919315934051,0.10859564580706031
1966.0,0.7378081528511043,0.2621918471488957,0.4835823032356968,0.5164176967643032,0.65625,0.34375,0.7225366751352524,0.27746332486476327,0.10859564580706031
1968.0,0.7380981819002688,0.26190181809973134,0.48364300536136057,0.5163569946386394,0.6875,0.3125,0.7246394812675653,0.27536051873245004,0.10859564580706031
1970.0,0.73838766329998,0.2616123367000201,0.48370348304897925,0.5162965169510209,0.6875,0.3125,0.7267163186198927,0.27328368138012255,0.10859564580706031
