wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
458.00865,1.5344738,0.38258085,2201.9465,3378.8292
458.97288,1.5338169,0.38306633,2209.3823,3388.788
459.93712,1.533164,0.38356143,2216.8855,3398.849
460.90135,1.5325202,0.38406247,2224.435,3408.9915
461.86558,1.5318583,0.38458714,2232.1338,3419.3127
462.82982,1.5311667,0.38510317,2239.7951,3429.4996
463.79405,1.5304781,0.38561749,2247.4589,3439.6867
464.75828,1.5297771,0.38612637,2255.1034,3449.8055
465.72252,1.5290676,0.38661683,2262.6525,3459.7486
466.68675,1.5283787,0.3871057,2270.2041,3469.7317
467.65099,1.5276846,0.38760167,2277.8093,3479.7741
468.61522,1.5269871,0.38810137,2285.4484,3489.8502
469.57945,1.5262854,0.38861576,2293.1864,3500.0569
