beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
9.022298456260720911e+00,7.843426883308713959e-01,9.159519725557460745e+00,1.178729689807976183e-01
9.056603773584905426e+00,7.843426883308713959e-01,9.193825042881647036e+00,1.169867060561300409e-01
9.090909090909091717e+00,7.843426883308713959e-01,9.228130360205831551e+00,1.152141802067947474e-01
9.125214408233276231e+00,7.825701624815361024e-01,9.262435677530017841e+00,1.134416543574593150e-01
9.159519725557460745e+00,7.825701624815361024e-01,9.296740994854202356e+00,1.116691285081240215e-01
9.193825042881647036e+00,7.825701624815361024e-01,9.331046312178386870e+00,1.098966026587887279e-01
9.228130360205831551e+00,7.807976366322008088e-01,9.365351629502573161e+00,1.081240768094534344e-01
9.262435677530017841e+00,7.807976366322008088e-01,9.399656946826757675e+00,1.072378138847858570e-01
9.296740994854202356e+00,7.807976366322008088e-01,9.433962264150943966e+00,1.054652880354505634e-01
9.331046312178386870e+00,7.799113737075331620e-01,9.468267581475128480e+00,1.045790251107828472e-01
9.365351629502573161e+00,7.790251107828655153e-01,9.502572898799314771e+00,1.028064992614475537e-01
9.399656946826757675e+00,7.790251107828655153e-01,9.536878216123499286e+00,1.010339734121122601e-01
9.433962264150943966e+00,7.772525849335302217e-01,9.571183533447683800e+00,9.926144756277696657e-02
9.468267581475128480e+00,7.772525849335302217e-01,9.605488850771870091e+00,9.926144756277696657e-02
9.502572898799314771e+00,7.772525849335302217e-01,9.639794168096054605e+00,9.748892171344167301e-02
9.536878216123499286e+00,7.754800590841949282e-01,9.674099485420240896e+00,9.571639586410637945e-02
9.571183533447683800e+00,7.754800590841949282e-01,9.708404802744425410e+00,9.394387001477108590e-02
9.605488850771870091e+00,7.737075332348596346e-01,9.742710120068609925e+00,9.394387001477108590e-02
9.639794168096054605e+00,7.737075332348596346e-01,9.777015437392796215e+00,9.217134416543579234e-02
9.674099485420240896e+00,7.728212703101919878e-01,9.811320754716980730e+00,9.039881831610049878e-02
9.708404802744425410e+00,7.719350073855243410e-01,9.845626072041167021e+00,8.951255539143278261e-02
9.742710120068609925e+00,7.710487444608566943e-01,9.879931389365351535e+00,8.862629246676508032e-02
9.777015437392796215e+00,7.701624815361889365e-01,9.914236706689536049e+00,8.685376661742978677e-02
9.811320754716980730e+00,7.692762186115214007e-01,9.948542024013722340e+00,8.596750369276219550e-02
9.845626072041167021e+00,7.683899556868537539e-01,9.982847341337906855e+00,8.508124076809449321e-02
9.879931389365351535e+00,7.675036927621861071e-01,1.001715265866209315e+01,8.330871491875919965e-02
9.914236706689536049e+00,7.657311669128508136e-01,1.005145797598627766e+01,8.153618906942390610e-02
9.948542024013722340e+00,7.648449039881831668e-01,1.008576329331046395e+01,8.153618906942390610e-02
9.982847341337906855e+00,7.639586410635155200e-01,1.012006861063464846e+01,7.976366322008861254e-02
1.001715265866209315e+01,7.621861152141802265e-01,1.015437392795883298e+01,7.887740029542102127e-02
1.005145797598627766e+01,7.621861152141802265e-01,1.018867924528301927e+01,7.799113737075331898e-02
1.008576329331046395e+01,7.604135893648449329e-01,1.022298456260720378e+01,7.621861152141802542e-02
1.012006861063464846e+01,7.595273264401771751e-01,1.025728987993139008e+01,7.533234859675030926e-02
1.015437392795883298e+01,7.586410635155096394e-01,1.029159519725557459e+01,7.444608567208273187e-02
1.018867924528301927e+01,7.568685376661742348e-01,1.032590051457975910e+01,7.355982274741501570e-02
1.022298456260720378e+01,7.550960118168390522e-01,1.036020583190394539e+01,7.267355982274743831e-02
1.025728987993139008e+01,7.550960118168390522e-01,1.039451114922812991e+01,7.090103397341214475e-02
1.029159519725557459e+01,7.533234859675036477e-01,1.042881646655231620e+01,7.001477104874442858e-02
1.032590051457975910e+01,7.515509601181684651e-01,1.046312178387650071e+01,6.912850812407685119e-02
1.036020583190394539e+01,7.497784342688330605e-01,1.049742710120068523e+01,6.824224519940913503e-02
1.039451114922812991e+01,7.497784342688330605e-01,1.053173241852487152e+01,6.735598227474155764e-02
1.042881646655231620e+01,7.480059084194978780e-01,1.056603773584905603e+01,6.646971935007384147e-02
1.046312178387650071e+01,7.462333825701624734e-01,1.060034305317324232e+01,6.558345642540626408e-02
