beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
2.835270541082164364e+00,5.651450551226293584e-01,4.342591222476425150e-01,7.806763307517722295e-01,8.552188629780244078e-01,1.447811370219756477e-01,1.863727454909819559e-01,1.186372745490982039e+00,8.136272545090180719e-01
2.874549098196392816e+00,5.692803073565539940e-01,4.300201952110521142e-01,7.932678844735749912e-01,8.507601045756084668e-01,1.492398954243915332e-01,1.893787575150300551e-01,1.189378757515030083e+00,8.106212424849699172e-01
2.913827655310621267e+00,5.735119281432363714e-01,4.256707606543763123e-01,8.058594381953777530e-01,8.462457348666834189e-01,1.537542651333165256e-01,1.923847695390781543e-01,1.192384769539078126e+00,8.076152304609218735e-01
2.953106212424849719e+00,5.778331879631827261e-01,4.212161951626713363e-01,8.184509919171805148e-01,8.416764695825833531e-01,1.583235304174165914e-01,1.953907815631262535e-01,1.195390781563126170e+00,8.046092184368737188e-01
2.992384769539078171e+00,5.822371397075093435e-01,4.166620299858960208e-01,8.310425456389832766e-01,8.370530331580685601e-01,1.629469668419314399e-01,1.983967935871743526e-01,1.198396793587174436e+00,8.016032064128256751e-01
3.031663326653306623e+00,5.867166522225968350e-01,4.120139203535809203e-01,8.436340993607860383e-01,8.323761586164695192e-01,1.676238413835305363e-01,2.014028056112224518e-01,1.201402805611222480e+00,7.985971943887775204e-01
3.070941883767535074e+00,5.912644428194133717e-01,4.072776162286511070e-01,8.562256530825889111e-01,8.276465874534700840e-01,1.723534125465299160e-01,2.044088176352705510e-01,1.204408817635270523e+00,7.955911823647294767e-01
3.110220440881763526e+00,5.958731086227431195e-01,4.024589345963860976e-01,8.688172068043916729e-01,8.228650695195471876e-01,1.771349304804528124e-01,2.074148296593186225e-01,1.207414829659318567e+00,7.925851703406814330e-01
3.149498997995991978e+00,6.005351566592811441e-01,3.975637333580613331e-01,8.814087605261944347e-01,8.180323629010848308e-01,1.819676370989151692e-01,2.104208416833667217e-01,1.210420841683366611e+00,7.895791583166332783e-01
3.188777555110220430e+00,6.052430326051032594e-01,3.925978868751222595e-01,8.940003142479971965e-01,8.131492338001840015e-01,1.868507661998160541e-01,2.134268537074148209e-01,1.213426853707414876e+00,7.865731462925851236e-01
3.228056112224448881e+00,6.099891481323935771e-01,3.875672631887148167e-01,9.065918679697999583e-01,8.082164564131844031e-01,1.917835435868155414e-01,2.164328657314629201e-01,1.216432865731462920e+00,7.835671342685370799e-01
3.267334669338677333e+00,6.147659068126724025e-01,3.824777029209529555e-01,9.191834216916027200e-01,8.032348128079203065e-01,1.967651871920796935e-01,2.194388777555110193e-01,1.219438877755510964e+00,7.805611222444890362e-01
3.306613226452905785e+00,6.195657285491563693e-01,3.773349998482461998e-01,9.317749754134054818e-01,7.982050927997264012e-01,2.017949072002736544e-01,2.224448897795591185e-01,1.222444889779559229e+00,7.775551102204408815e-01
3.345891783567134237e+00,6.243810725244850479e-01,3.721448831232429533e-01,9.443665291352083546e-01,7.931280938262168512e-01,2.068719061737830933e-01,2.254509018036072177e-01,1.225450901803607273e+00,7.745490981963927268e-01
