window,center,x,pooled_count
2,-1.2,-1.71,0
2,-1.2,-1.698,0
2,-1.2,-1.686,0
2,-1.2,-1.6740000000000002,0
2,-1.2,-1.6620000000000001,0
2,-1.2,-1.6500000000000001,0
2,-1.2,-1.6380000000000001,0
2,-1.2,-1.6260000000000001,0
2,-1.2,-1.614,0
2,-1.2,-1.602,0
2,-1.2,-1.59,0
2,-1.2,-1.578,0
2,-1.2,-1.566,0
2,-1.2,-1.554,0
2,-1.2,-1.542,0
2,-1.2,-1.53,0
2,-1.2,-1.518,0
2,-1.2,-1.506,0
2,-1.2,-1.494,0
2,-1.2,-1.482,0
2,-1.2,-1.47,0
2,-1.2,-1.458,1
2,-1.2,-1.446,1
2,-1.2,-1.434,1
2,-1.2,-1.422,2
2,-1.2,-1.41,5
2,-1.2,-1.398,9
2,-1.2,-1.3860000000000001,14
2,-1.2,-1.374,16
2,-1.2,-1.362,44
2,-1.2,-1.35,75
2,-1.2,-1.338,123
2,-1.2,-1.326,197
2,-1.2,-1.314,294
2,-1.2,-1.302,421
2,-1.2,-1.29,609
2,-1.2,-1.278,807
2,-1.2,-1.266,1098
2,-1.2,-1.254,1393
2,-1.2,-1.242,1781
2,-1.2,-1.23,2254
2,-1.2,-1.218,2743
2,-1.2,-1.2060000000000002,3258
2,-1.2,-1.1940000000000002,3692
2,-1.2,-1.1820000000000002,4203
2,-1.2,-1.1700000000000002,4560
2,-1.2,-1.1580000000000001,5082
2,-1.2,-1.1460000000000001,5219
2,-1.2,-1.1340000000000001,5466
2,-1.2,-1.122,5587
2,-1.2,-1.11,5402
2,-1.2,-1.098,5321
2,-1.2,-1.086,5021
2,-1.2,-1.074,4718
2,-1.2,-1.062,4211
2,-1.2,-1.05,3834
2,-1.2,-1.038,3427
2,-1.2,-1.026,2931
2,-1.2,-1.014,2559
2,-1.2,-1.002,2069
2,-1.2,-0.99,1698
2,-1.2,-0.978,1341
2,-1.2,-0.966,1099
2,-1.2,-0.9540000000000001,907
2,-1.2,-0.9420000000000001,652
2,-1.2,-0.93,532
2,-1.2,-0.918,380
2,-1.2,-0.906,273
2,-1.2,-0.894,214
2,-1.2,-0.882,153
2,-1.2,-0.87,102
2,-1.2,-0.858,64
2,-1.2,-0.8460000000000001,46
2,-1.2,-0.8340000000000001,40
2,-1.2,-0.8220000000000001,16
2,-1.2,-0.81,16
2,-1.2,-0.798,6
2,-1.2,-0.786,7
2,-1.2,-0.774,4
2,-1.2,-0.762,2
2,-1.2,-0.75,0
2,-1.2,-0.738,0
2,-1.2,-0.726,0
2,-1.2,-0.714,0
2,-1.2,-0.702,0
2,-1.2,-0.69,0
2,-1.2,-0.6779999999999999,0
2,-1.2,-0.6659999999999999,0
2,-1.2,-0.6539999999999999,0
2,-1.2,-0.642,0
2,-1.2,-0.6300000000000001,0
2,-1.2,-0.6180000000000001,0
2,-1.2,-0.6060000000000001,0
2,-1.2,-0.5940000000000001,0
2,-1.2,-0.5820000000000001,0
2,-1.2,-0.5700000000000001,0
2,-1.2,-0.558,0
2,-1.2,-0.546,0
2,-1.2,-0.534,0
2,-1.2,-0.522,0
2,-1.2,-0.51,0
2,-1.2,-0.498,0
2,-1.2,-0.486,0
2,-1.2,-0.474,0
2,-1.2,-0.46199999999999997,0
2,-1.2,-0.44999999999999996,0
2,-1.2,-0.43799999999999994,0
2,-1.2,-0.42599999999999993,0
2,-1.2,-0.4139999999999999,0
2,-1.2,-0.4019999999999999,0
2,-1.2,-0.39,0
2,-1.2,-0.3780000000000001,0
2,-1.2,-0.3660000000000001,0
2,-1.2,-0.3540000000000001,0
2,-1.2,-0.3420000000000001,0
2,-1.2,-0.33000000000000007,0
2,-1.2,-0.31800000000000006,0
2,-1.2,-0.30600000000000005,0
2,-1.2,-0.29400000000000004,0
2,-1.2,-0.28200000000000003,0
2,-1.2,-0.27,0
2,-1.2,-0.258,0
2,-1.2,-0.246,0
2,-1.2,-0.23399999999999999,0
2,-1.2,-0.22199999999999998,0
2,-1.2,-0.20999999999999996,0
2,-1.2,-0.19799999999999995,0
2,-1.2,-0.18599999999999994,0
2,-1.2,-0.17399999999999993,0
2,-1.2,-0.16199999999999992,0
